active;label;asset;liquidity;risk_factor;account_category;asset_medium;platform;investment_type;notes;25/07/2021;04/09/2021;17/10/2021;12/11/2021;25/11/2021;19/12/2021;31/12/2021;01/03/2022;15/03/2022;14/05/2022;27/05/2022;17/06/2022;16/07/2022;14/08/2022;27/08/2022;07/10/2022;12/11/2022;02/12/2022;01/03/2023;29/03/2023;07/04/2023;13/05/2023;14/07/2023;06/08/2023;04/09/2023;15/09/2023;20/11/2023;27/11/2023;15/12/2023;27/12/2023;16/02/2024;25/02/2024;09/03/2024;17/03/2024;07/05/2024;21/05/2024;20/07/2024;07/08/2024;10/08/2024;26/08/2024;29/10/2024;11/11/2024;12/11/2024;17/11/2024;22/11/2024;26/12/2024;31/12/2024;19/01/2025;11/02/2025;08/03/2025;11/03/2025;26/04/2025;10/05/2025;23/05/2025;01/06/2025;14/06/2025;22/06/2025;27/06/2025;21/07/2025;03/09/2025;15/09/2025;13/10/2025;26/10/2025;28/10/2025;05/11/2025;11/11/2025;24/11/2025;07/12/2025;11/01/2026;18/01/2026;01/02/2026;08/02/2026;02/03/2026;16/03/2026;22/03/2026;11/04/2026;22/04/2026;03/05/2026;05/05/2026;12/05/2026
0;yoga;R-Lqx45;HIGH;"MEDIUM RISK";"Stock Equiv";"Saham Indo";INDOPREMIER;LQ45;R-Lqx45;21086500;21436000;24115500;19812000;19948500;19597500;19500000;20865000;;21333000;21879000;21118500;19944961;7072000;10137400;12717498;12836574;12439727;11800188;12104628;12037409;12102790;12648143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";WSTETH;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;Arbitrum;Crypto;Wsteth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121531;110774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;USDT;HIGH;"VERY HIGH RISK";"Alternativ Equiv";"US Dollar Token";BINANCE;"Future Account";Future;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;635407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;USDT;HIGH;"VERY HIGH RISK";"Alternativ Equiv";"US Dollar Token";BINANCE;"Binance Earn (High Yield)";"Ether Buy Low";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537623;532771;529028;509458;522361;522859;523729;528459;528366;537856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar Token";Gate.IO;"USD Token";USDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1504810;2791880;2791880;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";BINANCE;"Binance Earn (High Yield)";"Bitcoin Buy Low";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5096637;6508547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet â€¦3688";USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";"Fluid Arbitrum";"Lending Protocol";"Stablecoin Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
0;yoga;USDT;HIGH;"HIGH RISK";"Bond Equiv";"US Dollar Token";BINANCE;"USD Token";"USDT Simple Earn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9931195;10139881;10256892;31789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";Crypto;AAVE;"Lending Protocol";"USDT Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15170155;19146512;19293396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";USDT;"VERY HIGH";"VERY HIGH RISK";"Bond Equiv";"US Dollar";AAVE;"Lending Protocol";"USDT Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2528567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …ce36f";USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";"Fluid Arbitrum";"Lending Protocol";"Stablecoin Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71123273;46686460;47058078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
